NÚMERO DO PROTOCOLO,FINALIZAÇÃO,TMO ORIGINAL,TMO AJUSTADO
20250327-009-2884381,ATUALIZADO,0 days 00:02:57,0 days 00:03:00
20250226-009-2660343,FORA DE ESCOPO,0 days 02:48:14,0 days 02:00:00
20250605-009-3560777,AUDITADO,0 days 04:44:59,0 days 02:00:00
20250318-009-2809171,CADASTRADO,0 days 00:08:15,0 days 00:20:00
20250602-009-3521220,ATUALIZADO,0 days 00:02:09,0 days 00:03:00
20250409-009-3001552,CADASTRADO,0 days 00:12:33,0 days 00:20:00
20250520-009-3380670,ATUALIZADO,0 days 00:02:17,0 days 00:03:00
20250322-009-2846320,CADASTRADO,0 days 00:09:23,0 days 00:20:00
20250328-009-2900502,CADASTRADO,0 days 00:17:09,0 days 00:20:00
20250314-009-2782062,ATUALIZADO,0 days 00:02:20,0 days 00:03:00
20250402-009-2944026,CADASTRADO,0 days 00:00:00,0 days 00:20:00
20250609-009-3589840,CADASTRADO,0 days 00:10:43,0 days 00:20:00
20250328-009-2894019,ATUALIZADO,0 days 00:34:47,0 days 00:15:00
20250224-009-2635411,ATUALIZADO,0 days 00:51:01,0 days 00:15:00
20250328-009-2900525,ATUALIZADO,0 days 00:02:41,0 days 00:03:00
20250528-009-3475900,ATUALIZADO,0 days 00:01:23,0 days 00:03:00
20250403-009-2951493,CADASTRADO,0 days 02:47:46,0 days 02:00:00
20250618-009-3698371,ATUALIZADO,0 days 00:01:35,0 days 00:03:00
20250423-009-3121019,CADASTRADO,0 days 00:09:30,0 days 00:20:00
20250411-009-3031587,ATUALIZADO,0 days 00:01:54,0 days 00:03:00
20250508-009-3256383,ATUALIZADO,0 days 00:02:57,0 days 00:03:00
20250305-009-2697689,ATUALIZADO,0 days 00:02:10,0 days 00:03:00
20250310-009-2734512,ATUALIZADO,0 days 00:02:54,0 days 00:03:00
20250505-009-3217715,ATUALIZADO,0 days 00:02:43,0 days 00:03:00
20250616-009-3673106,ATUALIZADO,0 days 00:02:07,0 days 00:03:00
20250317-009-2792832,ATUALIZADO,0 days 00:02:27,0 days 00:03:00
20250611-009-3624292,ATUALIZADO,0 days 00:02:58,0 days 00:03:00
20250310-009-2740587,CADASTRADO,0 days 00:13:29,0 days 00:20:00
20250321-009-2840765,CADASTRADO,0 days 00:15:42,0 days 00:20:00
20250325-009-2872669,CADASTRADO,0 days 00:10:59,0 days 00:20:00
20250430-009-3185616,CADASTRADO,0 days 00:12:37,0 days 00:20:00
20250617-009-3684460,ATUALIZADO,0 days 00:01:57,0 days 00:03:00
20250616-009-3679551,CADASTRADO,0 days 00:12:58,0 days 00:20:00
20250529-009-3488075,ATUALIZADO,0 days 00:02:01,0 days 00:03:00
20250428-009-3161985,ATUALIZADO,0 days 00:02:18,0 days 00:03:00
20250430-009-3189360,CADASTRADO,0 days 00:08:21,0 days 00:20:00
20250211-009-2527757,ATUALIZADO,0 days 00:02:16,0 days 00:03:00
20250224-009-2639587,CADASTRADO,0 days 00:16:50,0 days 00:20:00
20250612-009-3639124,CADASTRADO,0 days 00:15:17,0 days 00:20:00
20250211-009-2518635,CADASTRADO,0 days 00:18:24,0 days 00:20:00
20250529-009-3489726,ATUALIZADO,0 days 00:01:45,0 days 00:03:00
20250625-009-3766401,ATUALIZADO,0 days 00:01:58,0 days 00:03:00
20250207-009-2494826,ATUALIZADO,0 days 00:16:35,0 days 00:15:00
20250325-009-2872664,CADASTRADO,0 days 00:02:13,0 days 00:20:00
20250416-009-3078328,ATUALIZADO,0 days 00:02:40,0 days 00:03:00
20250514-009-3320685,ATUALIZADO,0 days 00:24:45,0 days 00:15:00
20250613-009-3663105,ATUALIZADO,0 days 00:01:00,0 days 00:03:00
20250402-009-2944030,CADASTRADO,0 days 00:00:00,0 days 00:20:00
20250425-009-3150007,ATUALIZADO,0 days 00:01:51,0 days 00:03:00
20250604-009-3548964,CADASTRADO,0 days 00:15:38,0 days 00:20:00
20250612-009-3648373,CADASTRADO,0 days 04:47:07,0 days 02:00:00
20250605-009-3570720,ATUALIZADO,0 days 00:02:57,0 days 00:03:00
20250610-009-3611734,ATUALIZADO,0 days 00:02:26,0 days 00:03:00
20250307-009-2727661,CADASTRADO,0 days 00:11:09,0 days 00:20:00
20250508-009-3259894,ATUALIZADO,0 days 00:02:40,0 days 00:03:00
20250415-009-3061661,CADASTRADO,0 days 00:13:21,0 days 00:20:00
20250529-009-3482831,ATUALIZADO,0 days 00:02:30,0 days 00:03:00
20250411-009-3033495,ATUALIZADO,0 days 00:02:33,0 days 00:03:00
20250217-009-2575919,ATUALIZADO,0 days 00:01:16,0 days 00:03:00
20250109-009-2239347,ATUALIZADO,0 days 00:36:55,0 days 00:15:00
20250510-009-3282524,CADASTRADO,0 days 00:10:22,0 days 00:20:00
20250403-009-2958796,ATUALIZADO,0 days 00:02:19,0 days 00:03:00
20250327-009-2884351,ATUALIZADO,0 days 00:01:39,0 days 00:03:00
20250317-009-2795041,ATUALIZADO,0 days 00:02:18,0 days 00:03:00
20250324-009-2852699,ATUALIZADO,0 days 00:02:46,0 days 00:03:00
20250624-009-3751062,CADASTRADO,0 days 00:18:15,0 days 00:20:00
20250507-009-3245419,CADASTRADO,0 days 00:17:14,0 days 00:20:00
20250402-009-2934564,ATUALIZADO,0 days 00:02:38,0 days 00:03:00
20250327-009-2890885,CADASTRADO,0 days 00:15:33,0 days 00:20:00
20250423-009-3120969,ATUALIZADO,0 days 00:02:48,0 days 00:03:00
20250613-009-3657819,ATUALIZADO,0 days 00:02:40,0 days 00:03:00
20250605-009-3564130,ATUALIZADO,0 days 00:02:27,0 days 00:03:00
20250520-009-3376945,ATUALIZADO,0 days 00:02:36,0 days 00:03:00
20250610-009-3606718,ATUALIZADO,0 days 00:02:34,0 days 00:03:00
20250417-009-3095755,ATUALIZADO,0 days 00:02:15,0 days 00:03:00
20250613-009-3651835,CADASTRADO,0 days 00:11:01,0 days 00:20:00
20250322-009-2846316,CADASTRADO,0 days 00:08:18,0 days 00:20:00
20250527-009-3457735,ATUALIZADO,0 days 00:01:53,0 days 00:03:00
20250401-009-2924060,CADASTRADO,0 days 00:08:57,0 days 00:20:00
20250612-009-3642125,ATUALIZADO,0 days 00:02:52,0 days 00:03:00
20250311-009-2746676,ATUALIZADO,0 days 00:02:28,0 days 00:03:00
20250617-009-3692109,ATUALIZADO,0 days 00:15:41,0 days 00:15:00
20250422-009-3106824,ATUALIZADO,0 days 00:02:45,0 days 00:03:00
20250416-009-3078356,ATUALIZADO,0 days 00:02:42,0 days 00:03:00
20250613-009-3657778,ATUALIZADO,0 days 00:02:38,0 days 00:03:00
20250407-009-2980771,ATUALIZADO,0 days 00:02:38,0 days 00:03:00
20250623-009-3742016,ATUALIZADO,0 days 00:02:51,0 days 00:03:00
20250317-009-2794938,ATUALIZADO,0 days 00:02:45,0 days 00:03:00
20250210-009-2507242,CADASTRADO,0 days 00:12:40,0 days 00:20:00
20250610-009-3608411,ATUALIZADO,0 days 00:01:58,0 days 00:03:00
20250613-009-3662953,CADASTRADO,0 days 00:00:01,0 days 00:20:00
20250327-009-2884371,ATUALIZADO,0 days 00:02:44,0 days 00:03:00
20250311-009-2742491,CADASTRADO,0 days 00:09:13,0 days 00:20:00
20250528-009-3469363,ATUALIZADO,0 days 00:36:15,0 days 00:15:00
20250605-009-3570480,CADASTRADO,0 days 00:16:48,0 days 00:20:00
20250613-009-3662030,CADASTRADO,0 days 00:18:56,0 days 00:20:00
20250610-009-3616031,ATUALIZADO,0 days 00:02:42,0 days 00:03:00
20250519-009-3363304,ATUALIZADO,0 days 00:02:15,0 days 00:03:00
20250415-009-3062314,ATUALIZADO,0 days 00:02:58,0 days 00:03:00
20250613-009-3657775,ATUALIZADO,0 days 00:02:54,0 days 00:03:00
20250402-009-2934576,ATUALIZADO,0 days 00:02:31,0 days 00:03:00
20250217-009-2577992,ATUALIZADO,0 days 00:01:51,0 days 00:03:00
20250508-009-3258627,ATUALIZADO,0 days 00:02:51,0 days 00:03:00
20250519-009-3363324,ATUALIZADO,0 days 00:02:26,0 days 00:03:00
20250610-009-3619980,CADASTRADO,0 days 00:18:05,0 days 00:20:00
20250324-009-2858481,CADASTRADO,0 days 00:13:41,0 days 00:20:00
20250325-009-2863727,ATUALIZADO,0 days 00:02:04,0 days 00:03:00
20250206-009-2479217,ATUALIZADO,0 days 00:02:43,0 days 00:03:00
20250407-009-2978240,ATUALIZADO,0 days 00:02:22,0 days 00:03:00
20250520-009-3373219,CADASTRADO,0 days 00:18:41,0 days 00:20:00
20250307-009-2723432,ATUALIZADO,0 days 00:15:20,0 days 00:15:00
20250327-009-2885590,ATUALIZADO,0 days 00:02:15,0 days 00:03:00
20250328-009-2895523,CADASTRADO,0 days 00:12:18,0 days 00:20:00
20250217-009-2575972,ATUALIZADO,0 days 00:02:32,0 days 00:03:00
20250310-009-2740545,ATUALIZADO,0 days 00:02:46,0 days 00:03:00
20250320-009-2830524,ATUALIZADO,0 days 00:01:52,0 days 00:03:00
20250529-009-3482853,ATUALIZADO,0 days 00:15:55,0 days 00:15:00
20250523-009-3428452,CADASTRADO,0 days 03:05:07,0 days 02:00:00
20250605-009-3565282,ATUALIZADO,0 days 00:02:28,0 days 00:03:00
20250528-009-3475742,CADASTRADO,0 days 00:04:23,0 days 00:20:00
20250416-009-3080439,ATUALIZADO,0 days 00:02:52,0 days 00:03:00
20250426-009-3155896,CADASTRADO,0 days 00:13:53,0 days 00:20:00
20250404-009-2964125,ATUALIZADO,0 days 00:02:28,0 days 00:03:00
20250210-009-2503666,ATUALIZADO,0 days 00:02:54,0 days 00:03:00
20250210-009-2510857,ATUALIZADO,0 days 00:16:31,0 days 00:15:00
20250320-009-2830725,ATUALIZADO,0 days 00:02:56,0 days 00:03:00
20250409-009-3000453,CADASTRADO,0 days 00:17:16,0 days 00:20:00
20250320-009-2833638,ATUALIZADO,0 days 00:01:58,0 days 00:03:00
20250606-009-3577600,ATUALIZADO,0 days 00:02:16,0 days 00:03:00
20250624-009-3751510,ATUALIZADO,0 days 15:17:27,0 days 02:00:00
20250604-009-3551733,ATUALIZADO,0 days 00:01:58,0 days 00:03:00
20250508-009-3258610,ATUALIZADO,0 days 00:01:59,0 days 00:03:00
20250620-009-3719652,CADASTRADO,0 days 00:11:36,0 days 00:20:00
20250327-009-2888993,ATUALIZADO,0 days 00:02:30,0 days 00:03:00
20250320-009-2830508,ATUALIZADO,0 days 00:02:27,0 days 00:03:00
20250428-009-3166938,CADASTRADO,0 days 00:16:30,0 days 00:20:00
20250429-009-3179488,CADASTRADO,0 days 00:10:18,0 days 00:20:00
20250404-009-2964071,CADASTRADO,0 days 00:12:56,0 days 00:20:00
20250227-009-2675459,ATUALIZADO,0 days 00:17:03,0 days 00:15:00
20250423-009-3121012,CADASTRADO,0 days 00:09:51,0 days 00:20:00
20250410-009-3023887,ATUALIZADO,0 days 00:20:04,0 days 00:15:00
20250428-009-3168204,ATUALIZADO,0 days 00:02:18,0 days 00:03:00
20250513-009-3305897,ATUALIZADO,0 days 00:02:50,0 days 00:03:00
20250401-009-2923822,ATUALIZADO,0 days 00:02:33,0 days 00:03:00
20250313-009-2769115,ATUALIZADO,0 days 00:02:10,0 days 00:03:00
20250220-009-2617019,CADASTRADO,0 days 00:13:11,0 days 00:20:00
20250513-009-3306151,ATUALIZADO,0 days 00:02:57,0 days 00:03:00
20250413-009-3045867,CADASTRADO,0 days 00:16:34,0 days 00:20:00
20250507-009-3249995,ATUALIZADO,0 days 00:02:26,0 days 00:03:00
20250606-009-3579807,ATUALIZADO,0 days 00:01:56,0 days 00:03:00
20250414-009-3049462,ATUALIZADO,0 days 00:02:48,0 days 00:03:00
20250513-009-3311362,ATUALIZADO,0 days 00:02:53,0 days 00:03:00
20250416-009-3076652,ATUALIZADO,0 days 00:02:47,0 days 00:03:00
20250520-009-3378784,ATUALIZADO,0 days 00:27:10,0 days 00:15:00
20250611-009-3632653,ATUALIZADO,0 days 00:02:28,0 days 00:03:00
20250307-009-2721393,ATUALIZADO,0 days 00:02:31,0 days 00:03:00
20250523-009-3427868,CADASTRADO,0 days 00:18:57,0 days 00:20:00
20250506-009-3240038,ATUALIZADO,0 days 00:01:43,0 days 00:03:00
20250520-009-3378495,CADASTRADO,0 days 00:16:31,0 days 00:20:00
20250322-009-2846325,CADASTRADO,0 days 00:09:49,0 days 00:20:00
20250210-009-2510319,ATUALIZADO,0 days 00:02:35,0 days 00:03:00
20250612-009-3639923,ATUALIZADO,0 days 00:02:52,0 days 00:03:00
20250225-009-2653734,CADASTRADO,0 days 00:04:22,0 days 00:20:00
20250617-009-3692312,ATUALIZADO,0 days 00:02:36,0 days 00:03:00
20250620-009-3721508,ATUALIZADO,0 days 00:22:41,0 days 00:15:00
20250219-009-2600010,CADASTRADO,0 days 00:08:23,0 days 00:20:00
20250413-009-3045868,CADASTRADO,0 days 00:04:06,0 days 00:20:00
20250520-009-3377006,ATUALIZADO,0 days 00:02:34,0 days 00:03:00
20250616-009-3673633,ATUALIZADO,0 days 00:02:04,0 days 00:03:00
20250401-009-2930819,CADASTRADO,0 days 00:16:05,0 days 00:20:00
20250623-009-3737897,ATUALIZADO,0 days 00:02:05,0 days 00:03:00
20250402-009-2941469,ATUALIZADO,0 days 00:02:36,0 days 00:03:00
20250225-009-2653214,ATUALIZADO,0 days 00:02:25,0 days 00:03:00
20250213-009-2543413,CADASTRADO,0 days 00:10:01,0 days 00:20:00
20250408-009-2993085,ATUALIZADO,0 days 00:02:46,0 days 00:03:00
20250519-009-3361112,ATUALIZADO,0 days 00:02:29,0 days 00:03:00
20250318-009-2813952,ATUALIZADO,0 days 00:15:35,0 days 00:15:00
20250519-009-3361110,ATUALIZADO,0 days 00:02:08,0 days 00:03:00
20250602-009-3513652,ATUALIZADO,0 days 00:02:50,0 days 00:03:00
20250603-009-3531812,ATUALIZADO,0 days 00:02:25,0 days 00:03:00
20250609-009-3592732,ATUALIZADO,0 days 00:02:51,0 days 00:03:00
20250219-009-2594031,ATUALIZADO,0 days 00:02:35,0 days 00:03:00
20250509-009-3273912,ATUALIZADO,0 days 00:02:51,0 days 00:03:00
20250402-009-2942343,ATUALIZADO,0 days 00:02:30,0 days 00:03:00
20250325-009-2868469,ATUALIZADO,0 days 00:01:37,0 days 00:03:00
20250404-009-2962479,ATUALIZADO,0 days 00:42:09,0 days 00:15:00
20250422-009-3115783,ATUALIZADO,0 days 00:01:56,0 days 00:03:00
20250519-009-3361089,ATUALIZADO,0 days 00:02:11,0 days 00:03:00
20250128-009-2390638,CADASTRADO,0 days 00:18:51,0 days 00:20:00
20250609-009-3594556,CADASTRADO,0 days 00:18:45,0 days 00:20:00
20250213-009-2547567,ATUALIZADO,0 days 00:02:23,0 days 00:03:00
20250602-009-3514338,ATUALIZADO,0 days 00:02:59,0 days 00:03:00
20250623-009-3741938,ATUALIZADO,0 days 00:02:36,0 days 00:03:00
20250414-009-3058151,ATUALIZADO,0 days 00:30:37,0 days 00:15:00
20250401-009-2921312,ATUALIZADO,0 days 00:02:33,0 days 00:03:00
20250201-009-2427670,ATUALIZADO,0 days 00:32:56,0 days 00:15:00
20250605-009-3565035,ATUALIZADO,0 days 00:02:34,0 days 00:03:00
20250608-009-3588707,CADASTRADO,0 days 00:00:19,0 days 00:20:00
20250603-009-3533073,CADASTRADO,0 days 00:15:46,0 days 00:20:00
20250321-009-2841189,ATUALIZADO,0 days 00:02:14,0 days 00:03:00
20250415-009-3071029,ATUALIZADO,0 days 00:23:57,0 days 00:15:00
20250407-009-2980769,ATUALIZADO,0 days 00:02:05,0 days 00:03:00
20250513-009-3309045,CADASTRADO,0 days 00:15:00,0 days 00:20:00
20250527-009-3457748,ATUALIZADO,0 days 00:02:11,0 days 00:03:00
20250507-009-3247460,ATUALIZADO,0 days 00:02:30,0 days 00:03:00
20250322-009-2846268,CADASTRADO,0 days 00:09:21,0 days 00:20:00
20250606-009-3577570,ATUALIZADO,0 days 00:02:51,0 days 00:03:00
20250114-009-2281380,ATUALIZADO,0 days 00:15:45,0 days 00:15:00
20250307-009-2727663,CADASTRADO,0 days 00:16:26,0 days 00:20:00
20250620-009-3724778,ATUALIZADO,0 days 00:02:59,0 days 00:03:00
20250512-009-3291322,CADASTRADO,0 days 00:16:05,0 days 00:20:00
20250115-009-2292026,ATUALIZADO,0 days 00:26:38,0 days 00:15:00
20250604-009-3549537,ATUALIZADO,0 days 00:02:00,0 days 00:03:00
20250307-009-2727664,CADASTRADO,0 days 00:14:52,0 days 00:20:00
20250320-009-2827917,ATUALIZADO,0 days 00:01:58,0 days 00:03:00
20250527-009-3457771,ATUALIZADO,0 days 00:32:21,0 days 00:15:00
20250527-009-3457299,ATUALIZADO,0 days 00:02:53,0 days 00:03:00
20250616-009-3668080,CADASTRADO,0 days 00:11:33,0 days 00:20:00
20250609-009-3592756,ATUALIZADO,0 days 00:02:09,0 days 00:03:00
20250611-009-3625079,ATUALIZADO,0 days 00:01:53,0 days 00:03:00
20250625-009-3768204,ATUALIZADO,0 days 00:01:40,0 days 00:03:00
20250509-009-3273910,ATUALIZADO,0 days 00:02:32,0 days 00:03:00
20250620-009-3719653,CADASTRADO,0 days 00:14:19,0 days 00:20:00
20250417-009-3093303,ATUALIZADO,0 days 00:02:39,0 days 00:03:00
20250620-009-3721468,ATUALIZADO,0 days 00:02:45,0 days 00:03:00
20250205-009-2465797,ATUALIZADO,0 days 00:26:20,0 days 00:15:00
20250324-009-2856900,ATUALIZADO,0 days 01:10:58,0 days 00:15:00
20250415-009-3069978,ATUALIZADO,0 days 00:02:15,0 days 00:03:00
20250210-009-2510320,ATUALIZADO,0 days 00:02:31,0 days 00:03:00
20250526-009-3441571,ATUALIZADO,0 days 00:02:53,0 days 00:03:00
20250526-009-3441156,CADASTRADO,0 days 00:14:37,0 days 00:20:00
20250508-009-3256505,ATUALIZADO,0 days 00:02:32,0 days 00:03:00
20250307-009-2721197,ATUALIZADO,0 days 00:02:32,0 days 00:03:00
20250627-009-3802778,ATUALIZADO,0 days 00:01:59,0 days 00:03:00
20250623-009-3741991,ATUALIZADO,0 days 00:02:41,0 days 00:03:00
20250618-009-3698322,ATUALIZADO,0 days 00:02:34,0 days 00:03:00
20250328-009-2897893,ATUALIZADO,0 days 00:02:05,0 days 00:03:00
20250613-009-3657801,ATUALIZADO,0 days 00:02:45,0 days 00:03:00
20250313-009-2769092,ATUALIZADO,0 days 00:02:34,0 days 00:03:00
20250522-009-3413039,ATUALIZADO,0 days 00:02:44,0 days 00:03:00
20250508-009-3258583,ATUALIZADO,0 days 00:02:46,0 days 00:03:00
20250606-009-3577580,ATUALIZADO,0 days 00:01:59,0 days 00:03:00
20250311-009-2746699,ATUALIZADO,0 days 00:02:13,0 days 00:03:00
20250402-009-2934582,ATUALIZADO,0 days 00:02:46,0 days 00:03:00
20250211-009-2520546,ATUALIZADO,0 days 00:02:47,0 days 00:03:00
20250603-009-3532421,ATUALIZADO,0 days 00:02:56,0 days 00:03:00
20250613-009-3656769,ATUALIZADO,0 days 00:02:35,0 days 00:03:00
20250227-009-2673394,ATUALIZADO,0 days 00:02:12,0 days 00:03:00
20250327-009-2887792,ATUALIZADO,0 days 00:02:19,0 days 00:03:00
20250327-009-2891863,CADASTRADO,0 days 00:06:00,0 days 00:20:00
20250429-009-3175164,ATUALIZADO,0 days 00:01:49,0 days 00:03:00
20250513-009-3309114,CADASTRADO,0 days 00:06:09,0 days 00:20:00
20250212-009-2538894,ATUALIZADO,0 days 00:02:33,0 days 00:03:00
20250313-009-2767456,CADASTRADO,0 days 00:14:39,0 days 00:20:00
20250506-009-3231646,CADASTRADO,0 days 00:09:21,0 days 00:20:00
20250610-009-3608409,ATUALIZADO,0 days 00:01:43,0 days 00:03:00
20250109-009-2246619,ATUALIZADO,0 days 00:15:11,0 days 00:15:00
20250426-009-3155983,ATUALIZADO,0 days 00:02:28,0 days 00:03:00
20250529-009-3482803,ATUALIZADO,0 days 00:02:26,0 days 00:03:00
20250217-009-2575963,ATUALIZADO,0 days 00:02:24,0 days 00:03:00
20250312-009-2760869,ATUALIZADO,0 days 00:02:31,0 days 00:03:00
20250501-009-3198505,CADASTRADO,0 days 00:11:54,0 days 00:20:00
20250313-009-2769098,ATUALIZADO,0 days 00:02:25,0 days 00:03:00
20250620-009-3721503,ATUALIZADO,0 days 00:02:49,0 days 00:03:00
20250626-009-3785085,ATUALIZADO,0 days 00:02:44,0 days 00:03:00
20250623-009-3733797,CADASTRADO,0 days 00:11:51,0 days 00:20:00
20250217-009-2575954,ATUALIZADO,0 days 00:01:13,0 days 00:03:00
20250310-009-2740173,CADASTRADO,0 days 00:12:32,0 days 00:20:00
20250305-009-2702890,ATUALIZADO,0 days 00:16:54,0 days 00:15:00
20250322-009-2846339,CADASTRADO,0 days 00:09:44,0 days 00:20:00
20250326-009-2880185,ATUALIZADO,0 days 00:01:42,0 days 00:03:00
20250403-009-2958786,ATUALIZADO,0 days 00:02:22,0 days 00:03:00
20250523-009-3420317,CADASTRADO,0 days 00:08:10,0 days 00:20:00
20250311-009-2745495,ATUALIZADO,0 days 00:02:52,0 days 00:03:00
20250411-009-3032401,ATUALIZADO,0 days 00:02:59,0 days 00:03:00
20250612-009-3648091,CADASTRADO,0 days 00:00:01,0 days 00:20:00
20250609-009-3592763,ATUALIZADO,0 days 00:02:43,0 days 00:03:00
20250603-009-3531787,ATUALIZADO,0 days 00:39:01,0 days 00:15:00
20250512-009-3299511,ATUALIZADO,0 days 00:36:59,0 days 00:15:00
20250424-009-3133366,ATUALIZADO,0 days 00:02:43,0 days 00:03:00
20250510-009-3282556,CADASTRADO,0 days 00:13:19,0 days 00:20:00
20250605-009-3564086,ATUALIZADO,0 days 00:17:32,0 days 00:15:00
20250625-009-3767775,ATUALIZADO,0 days 00:02:05,0 days 00:03:00
20250609-009-3592673,ATUALIZADO,0 days 00:33:41,0 days 00:15:00
20250513-009-3306152,ATUALIZADO,0 days 00:02:54,0 days 00:03:00
